ID,Organization,Created..Timestamp,Created..Date,Created..Time,Updated..Date,Updated..Date.1,Updated..Time,Recorded..Timestamp,Recorded..Date,Recorded..Time,Surveyor..ID,Surveyor..Name,Surveyor..First.name,Surveyor..Last.name,Surveyor..Email,Status,River,Location..Latitude,Location..Longitude,Location..Easting,Location..Northing,Location..NGR,Survey.Type,Site.Name,Foreshore,Quadrat.Number,Cutlery..plastic.,Straw,Stirrer,Lollipop.stick,Food.wrapper,Take.away.container..plastic.,Drink.bottle..with.or.without.lid.,Bottle.top,Lid..plastic.,Cup..plastic.,Plate..plastic.,X6.4.pack.rings,Wine.cork..plastic.,Food.container..plastic.,Ice.pop.container,Other.plastic.food.packaging,Drink.carton,Tetra.pak.coffee.cup,Take.away.container.or.plate..polystyrene.,Cup..polystyrene.,Other.polystyrene.food.packaging,Thick..durable..shopping.bag,Thin..single.use..shopping.bag,Refuse.sack,Plastic.bottle.container..non.food.related.,Foam.roll.packaging,O.pack,Condom,Tampon.applicator,Sanitary.towel,Cotton.bud.stick,Nappy,Syringe.needle,Medicine.packaging,Wet.wipes,Gloves..plastic.,Eye.drop.dispenser,Plaster,Other.sewage.related.items,Lighter,Cigarette.butt,Cigarette.tobacco.packaging,Other.smoking.related,Shoe.or.flip.flop,Item.of.clothing,Other.clothing,Rope,String,Rubber.band,Recreational.fishing.gear,Commercial.fishing.gear,Shopping.trolley,Tyre,Traffic.cone.sign.barrier,Large.appliance..fridge..washing.machine....,Small.appliance..toaster..microwave....,Mattress,Carpet...20.cm.,Other.large.item,Building.insulation.pieces,Cable.tie,Rawl.plug,Window.spacer.tiles,Scaffold.bungee,Pipe.lagging,Tile.cross.spacers,Ball,Balloon...stick,Gardening..flower.pot..gloves..plant.label.,Nerf.bullet,Packaging.peanut,Pen,Surveyed.,Other.litter
54e616a201000041005078ac,Jolly Roger,08/08/2015 17:00,08/08/2015,17:00:00,08/08/2015 17:00,08/08/2015,17:00:00,19/02/2015 17:00,19/02/2015,17:00,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Floating hotspot,Erith Marshes,NA,1,0,35,0,10,10,10,4,19,4,5,9,42,5,6,0,1,1,0,7,25,,,,3,5,1,0,3,,,,,2,2,,0,10,2,3,2,,17,32,38,0,12,12,30,16,42,,,,0,,,,3,3,1,2,0,0,3,3,1,3,3,3,3,2,2,,
54e616a201000041005078ac,Jolly Roger,09/08/2015 17:00,09/08/2015,17:00:00,09/08/2015 17:00,09/08/2015,17:00:00,19/02/2015 17:00,19/02/2015,17:00,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Floating hotspot,Erith Marshes,NA,2,1,12,8,5,9,1,4,27,9,5,9,41,10,0,2,6,0,2,4,27,,,,0,6,6,1,4,,,,,1,0,,9,1,1,7,6,,2,0,31,3,9,8,17,4,47,,,,0,,,,0,3,3,3,1,0,1,0,2,0,2,1,1,2,2,,
54e616a201000041005078ac,Jolly Roger,10/08/2015 17:00,10/08/2015,17:00:00,10/08/2015 17:00,10/08/2015,17:00:00,19/02/2015 17:00,19/02/2015,17:00,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Floating hotspot,Erith Marshes,NA,3,29,44,4,7,10,4,4,5,1,7,3,17,8,1,1,2,10,4,1,9,,,,1,0,0,2,1,,,,,2,0,,7,5,5,0,8,,14,6,4,8,7,1,4,7,5,,,,1,,,,2,0,0,1,2,2,2,2,3,3,1,0,3,0,1,,
54e616a201000041005078ac,Jolly Roger,11/08/2015 17:00,11/08/2015,17:00:00,11/08/2015 17:00,11/08/2015,17:00:00,19/02/2015 17:00,19/02/2015,17:00,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Floating hotspot,Erith Marshes,NA,4,36,7,9,5,2,10,15,15,5,1,10,18,0,1,5,0,9,10,4,5,,,,1,2,5,4,2,,,,,0,1,,7,10,1,2,9,,13,7,7,7,4,4,7,6,5,,,,1,,,,3,3,2,0,2,3,2,1,1,2,1,1,2,0,1,,
54e616a201000041005078ac,Jolly Roger,12/08/2015 17:00,12/08/2015,17:00:00,12/08/2015 17:00,12/08/2015,17:00:00,19/02/2015 17:00,19/02/2015,17:00,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Floating hotspot,Erith Marshes,NA,5,1,38,8,6,4,10,12,23,3,3,3,3,4,8,5,3,6,6,7,0,,,,0,3,6,0,0,,,,,0,1,,7,9,0,0,5,,27,4,3,1,6,6,3,3,8,,,,0,,,,0,2,0,0,3,2,1,1,2,3,3,1,2,0,3,,
54e616a201000041005078ac,Jolly Roger,13/08/2015 17:00,13/08/2015,17:00:00,13/08/2015 17:00,13/08/2015,17:00:00,19/02/2015 17:00,19/02/2015,17:00,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Floating hotspot,Erith Marshes,NA,6,7,17,5,1,4,0,11,5,8,7,7,8,4,10,9,3,3,3,5,2,,,,4,3,6,6,4,,,,,2,2,,9,10,10,7,2,,17,8,3,0,1,1,8,3,2,,,,0,,,,2,2,0,3,1,1,0,0,0,2,3,3,0,2,2,,
54e616a201000041005078ac,Jolly Roger,14/08/2015 17:00,14/08/2015,17:00:00,14/08/2015 17:00,14/08/2015,17:00:00,19/02/2015 17:00,19/02/2015,17:00,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Floating hotspot,Erith Marshes,NA,7,7,3,10,4,7,7,3,27,1,2,10,13,9,0,1,8,6,0,2,20,,,,5,0,5,0,4,,,,,2,1,1,4,7,9,7,8,3,8,5,0,7,8,6,7,2,5,,,,1,,,,2,1,0,1,3,1,2,1,0,1,1,2,0,2,2,,
54e616a201000041005078ac,Jolly Roger,15/08/2015 17:00,15/08/2015,17:00:00,15/08/2015 17:00,15/08/2015,17:00:00,19/02/2015 17:00,19/02/2015,17:00,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Floating hotspot,Erith Marshes,NA,8,24,35,10,6,2,3,14,30,2,5,0,9,10,9,4,9,10,10,6,26,,,,4,4,6,3,0,,,,,2,2,,9,0,9,8,1,,9,6,1,7,0,0,7,1,7,,,,1,,,,0,2,0,2,0,3,1,0,2,0,3,0,3,3,2,,
5512cfb60100004a002a3460,Jolly Roger,16/08/2015 17:00,16/08/2015,17:00:00,16/08/2015 17:00,16/08/2015,17:00:00,22/03/2015 10:30,22/03/2015,10:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Foreshore segment,,NA,1,20,2,43,16,4,5,24,39,3,22,39,8,1,8,34,6,21,21,35,8,,15,0,6,8,42,22,9,26,5,26,15,19,37,25,6,6,0,39,1,25,30,28,32,21,16,6,19,19,14,,,,12,,,,18,25,0,3,16,11,9,23,18,17,2,34,17,5,6,,
5512cfb60100004a002a3460,Jolly Roger,17/08/2015 17:00,17/08/2015,17:00:00,17/08/2015 17:00,17/08/2015,17:00:00,22/03/2015 10:30,22/03/2015,10:30,54e616awww,Captain Nemo,Captain,Nemo,captainnemo@verne.com,approved,Taurduin River,NA,NA,NA,NA,NA,Foreshore segment,,NA,2,22,11,26,28,39,36,27,7,41,31,25,4,20,24,1,28,5,11,1,4,,14,11,1,23,7,27,19,36,3,15,14,30,27,7,7,7,21,39,24,17,1,22,6,6,2,30,13,1,26,,,,5,,,,25,11,4,21,2,1,13,21,32,2,1,9,5,27,8,,
